recipe,measure,rectype,unifips,uniname,vname,allocator,year,pop,totvalue,allocshare,allocated,allocpc,ipcmta,pctofmta,rectype_order,detail_order,geo_order,foptax_detail,foptax_summary,ftottax_detail,ftottax_summary
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2016,293029,56370339.72240581,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2017,293545,45278797.52916953,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2018,293939,50721846.15384616,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2019,294218,50868198.1906759,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2020,294218,38592435.94815566,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2021,294218,56443074.64695976,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,autorental_mtaaid,nyconly,2022,294218,55378607.25204497,0,0,0,0,0,1,1,11,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid,autorental_mtaaid
recipe1,accrual,detail,36027,Dutchess,franchise_mmtoa,qcew_tpu_wages,2016,293029,32439564.773472525,0.013273499871987317,430586.5588680118,1.4694332604213638,0.6058379314858883,0.013273499871987317,1,1,11,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa
recipe1,accrual,detail,36027,Dutchess,franchise_mmtoa,qcew_tpu_wages,2017,293545,33940489.307575844,0.013184511851057156,447488.7835064124,1.5244299289935526,0.5993698535594388,0.013184511851057156,1,1,11,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa
recipe1,accrual,detail,36027,Dutchess,franchise_mmtoa,qcew_tpu_wages,2018,293939,29353365.396863483,0.01355952995953274,398017.83751188207,1.354083117626045,0.6133989361199924,0.01355952995953274,1,1,11,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa,franchise_mmtoa
